PK.01.03,Pembuatan berita acara serah terima tahanan /Narapidana/Klien Pemasyarakatan (PAS).
PK.01.04,Registrasi Titipan
PK.01.04,Naskah yang berkaitan dengan kegiatan:
PK.01.04,Pemeriksaan kelengkapan dokumen serta berkas orang titipan yang diberikan oleh pihak terkait sesuai ketentuan peraturan peraturan perundang-undangan;
PK.01.04,"Pencatatan penerimaan orang titipan yang terdiri dari pembuatan surat perintah atau surat penetapan, pembuatan biodata diri, dan data barang bawaan;"
PK.01.04,Pemeriksaan Kesehatan;
PK.01.04,Pembuatan pas foto;
PK.01.04,Pembuatan sidik jari/dokumentasi sidik jari; dan
PK.01.04,Pembuatan berita acara serah terima orang titipan .
PK.01.05,Administrasi Pelayanan Tahanan di luar Rutan
PK.01.05,Naskah yang berkaitan dengan pelaksanaan administrasi pelayanan tahanan di luar Rutan
PK.01.06,Peminjaman/Bon Narapidana dan Anak Binaan
PK.01.06,"Naskah yang berkaitan dengan kegiatan peminjaman Narapidana dan Anak Binaan untuk kepentingan penyidikan, menghadiri sidang Peninjauan Kembali (PK) dan lainnya yang dianggap perlu dan sifatnya sementara."
PK.02,Asesmen DAN Klasifikasi
PK.02.01,Admisi Orientasi
PK.02.01,"Naskah yang berkaitan dengan Admisi Orientasi bagi Tahanan, Anak, Narapidana dan Anak Binaan"
PK.02.02,Asesmen dan Klasifikasi
PK.02.02,"Naskah yang berkaitan dengan kegiatan pelaksanaan asesmen dan klasifikasi Tahanan, Anak, dan Warga Binaan."
PK.03,Mutasi
PK.03.01,Mutasi Tahanan dan Anak
PK.03.01,Naskah yang berkaitan dengan kegiatan:
PK.03.01,"pemindahan Tahanan dan Anak untuk kepentingan keamanan dan/atau keperluan proses peradila/peminjaman Tahanan dan Anak untuk kepentingan penyidikan, menghadiri sidang PK dan lainnya yang dianggap perlu dan sifatnya sementara, dan pelaksanaan administrasi pembantaran dan penangguhan penahanan."
PK.03.02,Mutasi Narapidana dan Anak Binaan
PK.03.02,Naskah yang berkaitan dengan kegiatan mutasi/pemindahan
PK.03.02,"Narapidana dan Anak Binaan untuk kepentingan keamanan, Pembinaan, dan/atau keperluan proses peradilan."
PK.03.03,Mutasi Klien Pemasyarakatan
PK.03.03,"Naskah yang berkaitan dengan kegiatan mutasi/pemindahan Klien Pemasyarakatan untuk kepentingan pembimbingan kemasyarakatan, keamanan, Pembinaan, dan/atau keperluan proses peradilan."
PK.04,Bimbingan Kemasyarakatan DAN Pengentasan ANAK
PK.04.01,Layanan Kepribadian
PK.04.01,"Naskah yang berkaitan dengan kegiatan bimbingan mental, spiritual, kesadaran berbangsa dan bernegara, dan pendidikan, dan layanan kemandirian seperti bimbingan keterampilan kerja."
PK.04.02,Layanan Kemandirian
PK.04.02,Naskah yang berkaitan dengan kegiatan layanan kemandirian seperti bimbingan keterampilan kerja.
PK.04.03,Layanan Pelindungan Hukum Tahanan dan Anak
PK.04.03,"Naskah yang berkaitan dengan kegiatan Fasilitasi pemberian bantuan hukum litigasi dan nonlitigasi, Upaya rehabilitasi, Klarifikasi status hukum, Pencegahan penahanan melebihi masa tahanan, dan Pemantauan penahanan di luar Rutan."
PK.04.04,Pengeluaran Tahanan dan Anak
PK.04.04,Naskah yang berkaitan dengan pelaksanaan pengeluaran Tahanan dalam hal proses peradilan telah selesai atau meninggal dunia dan demi hukum atau telah habis masa penahanan atau perpanjangan penahanannya.
PK.04.05,Tim Pertimbangan Pemasyarakatan Pelayanan Tahanan dan Anak
PK.04.05,Naskah yang berkaitan dengan kegiatan pelaksanaan sidang Tim Pertimbangan Pemasyarakatan dalam penyelenggaraan Pelayanan Tahanan dan Anak.
PK.05,Pembinaan Narapidana DAN ANAK Binaan
PK.05.01,Pembinaan Kepribadian
PK.05.01,"Naskah yang berkaitan dengan kegiatan Keagamaan, Kesadaran berbangsa dan bernegara, Pendidikan, dan Kegiatan-kegiatan yang masuk dalam kategori kepribadian."
PK.05.02,Pembinaan Kemandirian
PK.05.02,Naskah yang berkaitan dengan kegiatan:
